region	chr	midPos	Nsites
(591,1154)(306702,307298)(300000,350000)	JASDQU010012224.1	325000	565	0.308179
(406,1616)(148778,149999)(100000,150000)	JASDQU010012231.1	125000	1212	0.616425
(683,1446)(115172,115963)(100000,150000)	JASDQU010012247.1	125000	765	0.781711
(311,1118)(51576,52386)(50000,100000)	JASDQU010012267.1	75000	809	0.273449
(1355,1558)(60496,60921)(50000,100000)	JASDQU010012272.1	75000	205	0.076154
(34,43)(188632,188649)(150000,200000)	JASDQU010012284.1	175000	11	0.045934
(5100,6255)(51859,81796)(50000,100000)	JASDQU010012294.1	75000	1157	0.275400
(117,2842)(88146,91047)(50000,100000)	JASDQU010012295.1	75000	2727	0.244263
(384,1187)(107679,108490)(100000,150000)	JASDQU010012330.1	125000	805	0.278680
(1188,1195)(189639,189684)(150000,200000)	JASDQU010012330.1	175000	9	0.196079
(1196,4174)(443442,446868)(400000,450000)	JASDQU010012330.1	425000	2980	0.580136
(334,1246)(161084,162008)(150000,200000)	JASDQU010012341.1	175000	914	0.827392
(88,442)(219418,219801)(200000,250000)	JASDQU010012357.1	225000	356	0.512564
(100,243)(53238,53381)(50000,100000)	JASDQU010012369.1	75000	145	0.069765
(1309,5521)(210755,235388)(200000,250000)	JASDQU010012376.1	225000	4214	0.230605
(251,292)(189025,189139)(150000,200000)	JASDQU010012402.1	175000	43	0.103548
(875,1571)(150000,165607)(150000,200000)	JASDQU010012403.1	175000	698	0.063549
(922,1144)(51841,52078)(50000,100000)	JASDQU010012404.1	75000	224	0.245177
(163,290)(64301,64439)(50000,100000)	JASDQU010012418.1	75000	129	0.387144
(6,1032)(118935,121384)(100000,150000)	JASDQU010012424.1	125000	1028	0.613202
(891,1245)(284595,285024)(250000,300000)	JASDQU010012430.1	275000	356	0.272330
(1364,2884)(53379,81776)(50000,100000)	JASDQU010012433.1	75000	1522	0.296959
(2600,2947)(150000,174795)(150000,200000)	JASDQU010012436.1	175000	349	0.153235
(2948,5640)(244025,246847)(200000,250000)	JASDQU010012436.1	225000	2694	0.327861
(658,661)(128070,128074)(100000,150000)	JASDQU010012453.1	125000	5	0.061354
(364,1811)(81321,93710)(50000,100000)	JASDQU010012481.1	75000	1449	0.242449
(802,1227)(126854,127401)(100000,150000)	JASDQU010012496.1	125000	427	0.081265
(1228,1715)(162073,162560)(150000,200000)	JASDQU010012496.1	175000	489	0.293440
(372,2306)(120127,139739)(100000,150000)	JASDQU010012519.1	125000	1936	0.711553
(1006,2417)(183682,185105)(150000,200000)	JASDQU010012534.1	175000	1413	0.453259
(2418,3190)(392708,393499)(350000,400000)	JASDQU010012534.1	375000	774	0.516895
(213,1448)(56245,89682)(50000,100000)	JASDQU010012559.1	75000	1237	0.424193
(567,746)(145243,145464)(100000,150000)	JASDQU010012661.1	125000	181	0.062125
(1585,1612)(167159,167341)(150000,200000)	JASDQU010012676.1	175000	29	0.045638
(2153,4853)(50000,85707)(50000,100000)	JASDQU010012687.1	75000	2702	0.390691
(534,912)(231896,232405)(200000,250000)	JASDQU010012707.1	225000	380	0.059133
(468,1118)(163719,191494)(150000,200000)	JASDQU010012758.1	175000	652	0.289596
(409,756)(135352,135793)(100000,150000)	JASDQU010012783.1	125000	349	0.041543
(436,1744)(157288,190068)(150000,200000)	JASDQU010012785.1	175000	1310	0.159454
(1745,1876)(207769,207904)(200000,250000)	JASDQU010012785.1	225000	133	0.094400
(1869,1945)(100538,100616)(100000,150000)	JASDQU010012792.1	125000	78	0.177372
(1946,3129)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	1185	0.144769
(1692,1876)(213488,213711)(200000,250000)	JASDQU010012815.1	225000	186	0.035998
(7779,8408)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	631	0.226779
(893,939)(95296,95342)(50000,100000)	JASDQU010012843.1	75000	48	0.049010
(2756,2797)(131628,131724)(100000,150000)	JASDQU010012850.1	125000	43	0.045413
(635,773)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	-0.001260
(327,1199)(115883,143710)(100000,150000)	JASDQU010012909.1	125000	874	0.928636
(264,369)(320493,320609)(300000,350000)	JASDQU010012930.1	325000	107	0.059901
(1851,2679)(77381,78213)(50000,100000)	JASDQU010012940.1	75000	830	0.318408
(768,1171)(344195,344803)(300000,350000)	JASDQU010012943.1	325000	405	0.020858
(503,664)(77822,77993)(50000,100000)	JASDQU010012960.1	75000	163	0.065558
(30,115)(100246,100342)(100000,150000)	JASDQU010012973.1	125000	87	0.071113
(165,215)(153302,153391)(150000,200000)	JASDQU010012977.1	175000	52	0.052089
(328,700)(102170,109627)(100000,150000)	JASDQU010013018.1	125000	374	0.033455
(701,715)(242817,242847)(200000,250000)	JASDQU010013018.1	225000	16	0.058904
(4277,4879)(50925,51539)(50000,100000)	JASDQU010013045.1	75000	604	0.251747
(486,488)(134643,134646)(100000,150000)	JASDQU010013080.1	125000	4	0.055150
(489,655)(156295,194188)(150000,200000)	JASDQU010013080.1	175000	168	0.002335
(529,1110)(206536,210547)(200000,250000)	JASDQU010013107.1	225000	583	0.264361
(2,248)(110474,110786)(100000,150000)	JASDQU010013110.1	125000	248	0.041201
(496,957)(204752,245283)(200000,250000)	JASDQU010013133.1	225000	463	0.069231
(1588,3646)(63510,69364)(50000,100000)	JASDQU010013151.1	75000	2060	0.337725
(862,3377)(55031,67481)(50000,100000)	JASDQU010013177.1	75000	2517	0.424267
(365,1207)(72232,79590)(50000,100000)	JASDQU010013212.1	75000	844	0.120864
(76,1510)(90983,92625)(50000,100000)	JASDQU010013221.1	75000	1436	0.254323
(645,693)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.042219
(42,1847)(153762,188638)(150000,200000)	JASDQU010013253.1	175000	1807	0.249196
(1054,1406)(183674,184652)(150000,200000)	JASDQU010013256.1	175000	354	0.072152
(167,780)(70629,79112)(50000,100000)	JASDQU010013259.1	75000	615	0.367461
(773,1710)(74868,81900)(50000,100000)	JASDQU010013271.1	75000	939	0.735239
(1711,1983)(161745,162106)(150000,200000)	JASDQU010013271.1	175000	274	0.025326
(1984,2531)(219936,220505)(200000,250000)	JASDQU010013271.1	225000	549	0.747738
(2018,2253)(219772,220031)(200000,250000)	JASDQU010013272.1	225000	237	0.666945
(225,385)(97656,97839)(50000,100000)	JASDQU010013282.1	75000	162	0.070753
(503,1241)(165402,166192)(150000,200000)	JASDQU010013285.1	175000	740	0.794955
(1112,1168)(101016,101101)(100000,150000)	JASDQU010013294.1	125000	58	0.088345
(794,822)(204403,204434)(200000,250000)	JASDQU010013311.1	225000	30	0.039912
(242,946)(63206,63911)(50000,100000)	JASDQU010013315.1	75000	706	0.703138
(332,559)(60521,61041)(50000,100000)	JASDQU010013319.1	75000	229	0.622030
(704,1179)(70041,70568)(50000,100000)	JASDQU010013326.1	75000	477	0.015282
(911,1399)(163331,163856)(150000,200000)	JASDQU010013330.1	175000	490	0.337456
(1972,2132)(221978,222269)(200000,250000)	JASDQU010013353.1	225000	162	0.574805
(117,248)(140338,140484)(100000,150000)	JASDQU010013357.1	125000	133	0.113340
(728,1469)(114421,115248)(100000,150000)	JASDQU010013361.1	125000	743	0.316577
(210,1025)(77028,97343)(50000,100000)	JASDQU010013423.1	75000	817	0.586924
(135,308)(499798,499999)(450000,500000)	JASDQU010013459.1	475000	175	0.303530
(647,1018)(75978,86617)(50000,100000)	JASDQU010013477.1	75000	373	0.849248
(1019,1932)(129302,145306)(100000,150000)	JASDQU010013477.1	125000	915	0.182062
(1933,3091)(168512,199999)(150000,200000)	JASDQU010013477.1	175000	1160	0.067374
(3092,5558)(200000,249425)(200000,250000)	JASDQU010013477.1	225000	2468	0.369217
(904,1177)(106796,107480)(100000,150000)	JASDQU010013500.1	125000	275	0.841503
(50,153)(126794,126899)(100000,150000)	JASDQU010013504.1	125000	105	0.575970
(154,693)(293065,298088)(250000,300000)	JASDQU010013504.1	275000	541	0.189820
(3100,3217)(94390,94520)(50000,100000)	JASDQU010013573.1	75000	119	0.443893
(297,426)(97377,97506)(50000,100000)	JASDQU010013607.1	75000	131	0.081698
(732,1413)(55276,89381)(50000,100000)	JASDQU010013629.1	75000	683	0.316504
(895,2013)(100272,103162)(100000,150000)	JASDQU010013654.1	125000	1120	0.162441
(330,2402)(184102,186978)(150000,200000)	JASDQU010013667.1	175000	2074	0.293754
(556,669)(116596,116722)(100000,150000)	JASDQU010013668.1	125000	115	0.088319
(2788,3370)(148554,149139)(100000,150000)	JASDQU010013693.1	125000	584	0.054427
(415,940)(86680,87452)(50000,100000)	JASDQU010013698.1	75000	527	0.013168
(3122,3911)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	791	0.406734
(138,2544)(203535,206605)(200000,250000)	JASDQU010013720.1	225000	2408	0.559802
(9,691)(81612,82348)(50000,100000)	JASDQU010013735.1	75000	684	0.429979
(3723,3815)(153021,153271)(150000,200000)	JASDQU010013740.1	175000	94	0.057123
(3,547)(149440,149999)(100000,150000)	JASDQU010013749.1	125000	546	0.090214
(315,1493)(80742,82401)(50000,100000)	JASDQU010013788.1	75000	1180	0.413375
(463,4672)(330277,336591)(300000,350000)	JASDQU010013845.1	325000	4211	0.143604
(2793,3868)(100814,121046)(100000,150000)	JASDQU010013892.1	125000	1077	0.470696
(2657,7922)(63629,80725)(50000,100000)	JASDQU010013931.1	75000	5267	0.554835
(993,1648)(52841,58304)(50000,100000)	JASDQU010013938.1	75000	657	0.030894
(330,1927)(122940,124730)(100000,150000)	JASDQU010013956.1	125000	1599	0.911379
(108,780)(237186,237859)(200000,250000)	JASDQU010013969.1	225000	674	0.119315
(469,2501)(101686,108746)(100000,150000)	JASDQU010013986.1	125000	2034	0.384782
(370,1530)(69110,73555)(50000,100000)	JASDQU010013996.1	75000	1162	0.058178
(630,782)(149401,149575)(100000,150000)	JASDQU010014056.1	125000	154	0.071196
(783,876)(283828,283925)(250000,300000)	JASDQU010014056.1	275000	95	0.384269
(275,570)(298072,298430)(250000,300000)	JASDQU010014075.1	275000	297	0.104291
(7,79)(62306,62418)(50000,100000)	JASDQU010014087.1	75000	74	0.048503
(3103,3607)(100000,100519)(100000,150000)	JASDQU010014116.1	125000	506	0.850561
(669,2630)(61668,94459)(50000,100000)	JASDQU010014129.1	75000	1963	0.391489
(2631,2991)(156718,157095)(150000,200000)	JASDQU010014129.1	175000	362	0.274377
(426,622)(54364,54734)(50000,100000)	JASDQU010014170.1	75000	198	0.126645
(267,823)(255868,256453)(250000,300000)	JASDQU010014184.1	275000	558	0.078654
(469,4390)(50000,62462)(50000,100000)	JASDQU010014202.1	75000	3923	0.317199
(18,312)(385162,391196)(350000,400000)	JASDQU010014226.1	375000	296	0.037482
(38,626)(100514,101125)(100000,150000)	JASDQU010014236.1	125000	590	0.625379
(627,1615)(281277,292159)(250000,300000)	JASDQU010014236.1	275000	990	0.262509
(1616,2097)(315308,317911)(300000,350000)	JASDQU010014236.1	325000	483	0.188384
(239,453)(217128,217426)(200000,250000)	JASDQU010014249.1	225000	216	0.051009
(1413,1418)(168299,168315)(150000,200000)	JASDQU010014294.1	175000	7	0.045347
(778,1370)(156846,159583)(150000,200000)	JASDQU010014329.1	175000	594	0.054504
(1233,1285)(59588,59649)(50000,100000)	JASDQU010014331.1	75000	54	0.014983
(345,475)(50000,50130)(50000,100000)	JASDQU010014337.1	75000	132	0.015533
(1997,2289)(201307,201729)(200000,250000)	JASDQU010014358.1	225000	294	0.119641
(692,1022)(84906,85248)(50000,100000)	JASDQU010014364.1	75000	332	0.064742
(1023,2282)(159400,160981)(150000,200000)	JASDQU010014364.1	175000	1261	0.546878
(456,2753)(106382,111771)(100000,150000)	JASDQU010014401.1	125000	2299	0.608402
(275,1051)(65776,66561)(50000,100000)	JASDQU010014404.1	75000	778	0.870739
(136,4870)(108465,121968)(100000,150000)	JASDQU010014418.1	125000	4736	0.561264
(342,1906)(157689,178932)(150000,200000)	JASDQU010014452.1	175000	1566	0.101163
(286,744)(68622,69172)(50000,100000)	JASDQU010014468.1	75000	460	0.014325
(581,938)(122011,141156)(100000,150000)	JASDQU010014488.1	125000	359	0.044891
(939,1386)(205906,206368)(200000,250000)	JASDQU010014488.1	225000	449	0.500585
(384,1130)(58633,59388)(50000,100000)	JASDQU010014504.1	75000	748	0.278165
(1992,2809)(51480,52589)(50000,100000)	JASDQU010014523.1	75000	819	0.322288
(371,722)(119296,119736)(100000,150000)	JASDQU010014528.1	125000	353	0.044567
(158,822)(247863,248659)(200000,250000)	JASDQU010014560.1	225000	666	0.354397
(1487,3154)(93691,96763)(50000,100000)	JASDQU010014564.1	75000	1669	0.718135
(552,2132)(102062,107791)(100000,150000)	JASDQU010014578.1	125000	1582	0.559386
(3110,8876)(69641,77411)(50000,100000)	JASDQU010014590.1	75000	5768	0.628286
(1051,1622)(80729,84630)(50000,100000)	JASDQU010014614.1	75000	573	0.153576
(826,2305)(171727,179628)(150000,200000)	JASDQU010014649.1	175000	1481	0.041905
